Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Agendamento em progresso;DV;CA Online Particulares;Rui Lopes;dvmnigapltaut01;ne-dv-mniga-plt-rg;DDD-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;DR;;;drazrpiappens01;we-dr-azrpi-app-rg;DSP-CA Proton-DR;West Europe;Standard_D2s_v3;
Inactivo;DR;;;drazrpiapplog01;WE-DR-AZRPI-APP-RG;DSP-CA Proton-DR;West Europe;Standard_F4s_v2;
Agendamento em progresso;DV;CA Online Particulares;Rui Lopes;dvmnigapltque01;NE-DV-MNIGA-PLT-RG;DDD-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;CA Online Particulares;Rui Lopes;dvpverainfapp01;ne-dv-pvera-app-rg;DDD-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;CA Online Particulares;Rui Lopes;dvpverainfsql01;ne-dv-pvera-app-rg;DDD-DV;North Europe;Standard_B4ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;DR;;;drazrpiappwsd02;we-dr-azrpi-app-rg;DSP-CA Proton-DR;West Europe;Standard_D2s_v3;
Agendamento em progresso;QL;CA Online Particulares;Rui Lopes;qlmnigapltaut01;NE-QL-MNIGA-PLT-RG;DDA AEA QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;DR;;;drazrpiappwsi02;WE-DR-AZRPI-APP-RG;DSP-CA Proton-DR;West Europe;Standard_D2s_v3;
Agendamento em progresso;QL;CA Online Particulares;Rui Lopes;qlmnigapltque01;NE-QL-MNIGA-PLT-RG;DDA AEA QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
